
  0%|          | 0/2000 [00:00<?, ?it/s]
 11%|█▏        | 229/2000 [01:53<13:46,  2.14it/s, train: 0.0034, test: 0.0072]
 12%|█▏        | 230/2000 [01:53<13:46,  2.14it/s, train: 0.0036, test: 0.0076]
 12%|█▏        | 231/2000 [01:54<13:45,  2.14it/s, train: 0.0043, test: 0.0078]
 12%|█▏        | 232/2000 [01:54<13:45,  2.14it/s, train: 0.0039, test: 0.0072]
 12%|█▏        | 233/2000 [01:55<13:44,  2.14it/s, train: 0.0044, test: 0.0100]
 12%|█▏        | 234/2000 [01:55<13:44,  2.14it/s, train: 0.0063, test: 0.0084]
 12%|█▏        | 235/2000 [01:56<13:44,  2.14it/s, train: 0.0060, test: 0.0083]
 12%|█▏        | 236/2000 [01:56<13:44,  2.14it/s, train: 0.0059, test: 0.0111]
 12%|█▏        | 237/2000 [01:57<13:43,  2.14it/s, train: 0.0077, test: 0.0110]
 12%|█▏        | 238/2000 [01:57<13:42,  2.14it/s, train: 0.0084, test: 0.0122]
 12%|█▏        | 239/2000 [01:58<13:41,  2.14it/s, train: 0.0080, test: 0.0132]
 12%|█▏        | 240/2000 [01:58<13:41,  2.14it/s, train: 0.0076, test: 0.0076]
 12%|█▏        | 241/2000 [01:58<13:41,  2.14it/s, train: 0.0058, test: 0.0120]
 12%|█▏        | 242/2000 [01:59<13:41,  2.14it/s, train: 0.0057, test: 0.0069]
 12%|█▏        | 243/2000 [01:59<13:40,  2.14it/s, train: 0.0039, test: 0.0091]
 12%|█▏        | 244/2000 [02:00<13:39,  2.14it/s, train: 0.0057, test: 0.0075]
 12%|█▏        | 245/2000 [02:00<13:39,  2.14it/s, train: 0.0072, test: 0.0118]
 12%|█▏        | 246/2000 [02:01<13:38,  2.14it/s, train: 0.0060, test: 0.0083]
 12%|█▏        | 247/2000 [02:01<13:37,  2.14it/s, train: 0.0041, test: 0.0077]
 12%|█▏        | 248/2000 [02:02<13:38,  2.14it/s, train: 0.0042, test: 0.0081]
 12%|█▏        | 249/2000 [02:02<13:37,  2.14it/s, train: 0.0044, test: 0.0077]
 12%|█▎        | 250/2000 [02:03<13:37,  2.14it/s, train: 0.0035, test: 0.0067]
 13%|█▎        | 251/2000 [02:03<13:37,  2.14it/s, train: 0.0033, test: 0.0071]
 13%|█▎        | 252/2000 [02:04<13:35,  2.14it/s, train: 0.0035, test: 0.0069]
 13%|█▎        | 253/2000 [02:04<13:35,  2.14it/s, train: 0.0031, test: 0.0069]
 13%|█▎        | 254/2000 [02:05<13:34,  2.14it/s, train: 0.0028, test: 0.0061]
 13%|█▎        | 255/2000 [02:05<13:34,  2.14it/s, train: 0.0026, test: 0.0058]
 13%|█▎        | 256/2000 [02:05<13:34,  2.14it/s, train: 0.0026, test: 0.0064]
 13%|█▎        | 257/2000 [02:06<13:34,  2.14it/s, train: 0.0027, test: 0.0058]
 13%|█▎        | 258/2000 [02:06<13:33,  2.14it/s, train: 0.0024, test: 0.0067]
 13%|█▎        | 259/2000 [02:07<13:33,  2.14it/s, train: 0.0027, test: 0.0070]
 13%|█▎        | 260/2000 [02:07<13:32,  2.14it/s, train: 0.0034, test: 0.0064]
 13%|█▎        | 261/2000 [02:08<13:32,  2.14it/s, train: 0.0031, test: 0.0061]
 13%|█▎        | 262/2000 [02:08<13:32,  2.14it/s, train: 0.0032, test: 0.0083]
 13%|█▎        | 263/2000 [02:09<13:32,  2.14it/s, train: 0.0032, test: 0.0072]
 13%|█▎        | 264/2000 [02:09<13:31,  2.14it/s, train: 0.0030, test: 0.0064]
 13%|█▎        | 265/2000 [02:10<13:30,  2.14it/s, train: 0.0034, test: 0.0087]
 13%|█▎        | 266/2000 [02:10<13:30,  2.14it/s, train: 0.0043, test: 0.0064]
 13%|█▎        | 267/2000 [02:11<13:30,  2.14it/s, train: 0.0050, test: 0.0108]
 13%|█▎        | 268/2000 [02:11<13:29,  2.14it/s, train: 0.0054, test: 0.0102]
 13%|█▎        | 269/2000 [02:12<13:29,  2.14it/s, train: 0.0066, test: 0.0162]
 14%|█▎        | 270/2000 [02:12<13:28,  2.14it/s, train: 0.0086, test: 0.0163]
 14%|█▎        | 271/2000 [02:12<13:27,  2.14it/s, train: 2.8924, test: 95.3425]
 14%|█▎        | 272/2000 [02:13<13:26,  2.14it/s, train: 157.8428, test: 276.6790]
 14%|█▎        | 273/2000 [02:13<13:25,  2.14it/s, train: 65.5730, test: 24.8979]  
 14%|█▎        | 274/2000 [02:14<13:25,  2.14it/s, train: 43.8489, test: 27.8943]
 14%|█▍        | 275/2000 [02:14<13:24,  2.14it/s, train: 17.5268, test: 9.6391] 
 14%|█▍        | 276/2000 [02:15<13:22,  2.15it/s, train: 14.4761, test: 13.5492]
 14%|█▍        | 277/2000 [02:15<13:22,  2.15it/s, train: 11.4613, test: 26.9153]
 14%|█▍        | 278/2000 [02:16<13:21,  2.15it/s, train: 20.2251, test: 18.6873]
 14%|█▍        | 279/2000 [02:16<13:20,  2.15it/s, train: 7.2496, test: 4.4031]  
 14%|█▍        | 280/2000 [02:17<13:19,  2.15it/s, train: 3.3970, test: 2.0781]
 14%|█▍        | 281/2000 [02:17<13:18,  2.15it/s, train: 1.8244, test: 3.4192]
 14%|█▍        | 282/2000 [02:18<13:18,  2.15it/s, train: 1.8946, test: 1.2020]
 14%|█▍        | 283/2000 [02:18<13:17,  2.15it/s, train: 0.9269, test: 0.8246]
 14%|█▍        | 284/2000 [02:19<13:17,  2.15it/s, train: 0.6931, test: 0.7244]
 14%|█▍        | 285/2000 [02:19<13:16,  2.15it/s, train: 0.5683, test: 0.4249]
 14%|█▍        | 286/2000 [02:19<13:17,  2.15it/s, train: 0.4398, test: 0.4981]
 14%|█▍        | 287/2000 [02:20<13:16,  2.15it/s, train: 0.3611, test: 0.2491]
 14%|█▍        | 288/2000 [02:20<13:16,  2.15it/s, train: 0.2475, test: 0.2794]
 14%|█▍        | 289/2000 [02:21<13:15,  2.15it/s, train: 0.2126, test: 0.1613]
