  0%|          | 0/1000 [00:00<?, ?it/s]E0208 10:54:02.497574 1439549 buffer_comparator.cc:157] Difference at 16: -1.34922, expected 3.85087
E0208 10:54:04.027829 1439549 buffer_comparator.cc:157] Difference at 4096: 0.0718421, expected 2.89318
E0208 10:54:04.027911 1439549 buffer_comparator.cc:157] Difference at 4097: 0.115915, expected 3.33935
E0208 10:54:04.027917 1439549 buffer_comparator.cc:157] Difference at 4098: 0.0407553, expected 3.25024
E0208 10:54:04.027921 1439549 buffer_comparator.cc:157] Difference at 4099: 0.0516806, expected 2.95441
E0208 10:54:04.027926 1439549 buffer_comparator.cc:157] Difference at 4100: 0.0570531, expected 2.96279
E0208 10:54:04.027931 1439549 buffer_comparator.cc:157] Difference at 4101: 0.116204, expected 2.81106
E0208 10:54:04.027935 1439549 buffer_comparator.cc:157] Difference at 4102: 0.0892245, expected 2.99832
E0208 10:54:04.027940 1439549 buffer_comparator.cc:157] Difference at 4103: 0.0547483, expected 3.20099
E0208 10:54:04.027944 1439549 buffer_comparator.cc:157] Difference at 4104: 0.110551, expected 2.98838
E0208 10:54:04.027949 1439549 buffer_comparator.cc:157] Difference at 4105: 0.101085, expected 3.1617
2025-02-08 10:54:04.029062: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:04.154753 1439549 buffer_comparator.cc:157] Difference at 4096: 0.0718421, expected 2.89318
E0208 10:54:04.154837 1439549 buffer_comparator.cc:157] Difference at 4097: 0.115915, expected 3.33935
E0208 10:54:04.154842 1439549 buffer_comparator.cc:157] Difference at 4098: 0.0407553, expected 3.25024
E0208 10:54:04.154847 1439549 buffer_comparator.cc:157] Difference at 4099: 0.0516806, expected 2.95441
E0208 10:54:04.154852 1439549 buffer_comparator.cc:157] Difference at 4100: 0.0570531, expected 2.96279
E0208 10:54:04.154856 1439549 buffer_comparator.cc:157] Difference at 4101: 0.116204, expected 2.81106
E0208 10:54:04.154861 1439549 buffer_comparator.cc:157] Difference at 4102: 0.0892245, expected 2.99832
E0208 10:54:04.154866 1439549 buffer_comparator.cc:157] Difference at 4103: 0.0547483, expected 3.20099
E0208 10:54:04.154870 1439549 buffer_comparator.cc:157] Difference at 4104: 0.110551, expected 2.98838
E0208 10:54:04.154875 1439549 buffer_comparator.cc:157] Difference at 4105: 0.101085, expected 3.1617
2025-02-08 10:54:04.155976: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:04.273813 1439549 buffer_comparator.cc:157] Difference at 4096: 0.0718421, expected 2.89318
E0208 10:54:04.274628 1439549 buffer_comparator.cc:157] Difference at 4097: 0.115915, expected 3.33935
E0208 10:54:04.274638 1439549 buffer_comparator.cc:157] Difference at 4098: 0.0407553, expected 3.25024
E0208 10:54:04.274643 1439549 buffer_comparator.cc:157] Difference at 4099: 0.0516806, expected 2.95441
